Block number,Time,Gas used,Gas limit,Base fee per gas
12965318,1628171378,15537561,27768302,70250789663
12965319,1628171384,1977666,27741186,71296526616
12965320,1628171385,19302003,27768276,63655141111
12965321,1628171386,19115734,27741160,66760077847
12965322,1628171410,4720047,27714071,69915739771
12965323,1628171416,5567481,27687008,64153149909
12965324,1628171418,27709775,27714045,59359087798
12965325,1628171422,10058631,27686982,66776687892
12965326,1628171427,9284862,27659945,64494564701
12965327,1628171443,22919797,27632935,61845111661
12965328,1628171467,6654069,27659919,66938639372
12965329,1628171473,27675475,27686929,62597119697
12965330,1628171517,1405399,27659892,70415286163
12965331,1628171519,8069797,27686902,62507825494
12965332,1628171520,27704501,27713938,59249077399
12965333,1628171569,4635205,27741001,66650168280
12965334,1628171575,801249,27713912,61103018161
12965335,1628171581,27738011,27740975,53906784895
12965336,1628171599,27695420,27713886,60643693567
12965337,1628171621,6630138,27686823,68214053409
12965338,1628171631,11988259,27713859,63771086014
12965339,1628171651,17689404,27686796,62696108333
12965340,1628171662,13933130,27659760,64873406211
12965341,1628171676,10876698,27632750,64933947039
12965342,1628171694,18593640,27659734,63206967001
12965343,1628171705,6396184,27686744,65928464998
12965344,1628171720,27697609,27713780,61495100846
12965345,1628171740,7962032,27740843,69173017848
12965346,1628171746,27704027,27713754,65489810452
12965347,1628171770,16206375,27686691,73670290339
12965348,1628171800,0,27659655,75242210873
12965349,1628171801,19246400,27686665,65836934514
12965350,1628171815,3115369,27659629,69048963183
12965351,1628171816,27627147,27632619,62362129594
12965352,1628171829,11114153,27659602,70154309013
12965353,1628171849,27669215,27686612,68432353570
12965354,1628171886,12003073,27713648,76975647826
12965355,1628171901,15668683,27740711,75688432912
12965356,1628171920,19993449,27767800,76915083457
12965357,1628171952,1870801,27794915,81145851389
12965358,1628171956,27802498,27822057,72368047288
12965359,1628171983,16198316,27794889,81401335103
12965360,1628172014,1710117,27822031,83085943912
12965361,1628172015,27793180,27794863,73976947131
12965362,1628172022,26698314,27822005,83222946347
12965363,1628172057,1573893,27849173,92785501406
12965364,1628172061,27803023,27821978,82498254422
12965365,1628172105,13477315,27849146,92796484793
12965366,1628172122,2322580,27876341,92423906311
12965367,1628172124,22170138,27903562,82796044459
12965368,1628172126,12565349,27930810,88892465514
12965369,1628172144,27948646,27958085,87778512592
